"Taxonomy","Domain","Phylum","Class","Order","Family","Genus","Habitat","Freq","IndVal_mean","IndVal_se","IndVal_min","IndVal_max","PVal_mean","PVal_se","PVal_min","PVal_max"
"Bacteria; Chloroflexota; Limnocylindria; Limnocylindrales; CSP1-4; JAFMJV01","Bacteria","Chloroflexota","Limnocylindria","Limnocylindrales","CSP1-4","JAFMJV01","freshwater sediment",100,0.638212199136943,0.00195702204115794,0.586888322795769,0.687560909168895,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Desulfobacterota; BSN033; BSN033; UBA1163; UBA1163","Bacteria","Desulfobacterota","BSN033","BSN033","UBA1163","UBA1163","freshwater sediment",100,0.631879690127892,0.00208267069929968,0.577498329857026,0.672947426637356,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Acidobacteriota; Vicinamibacteria; Vicinamibacterales; Fen-181; FEN-299","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Fen-181","FEN-299","freshwater sediment",100,0.631265494744049,0.00230849769363292,0.565195858825053,0.683371575242845,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Nitrospirota; Nitrospiria; Nitrospirales; Nitrospiraceae; Palsa-1315","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Palsa-1315","freshwater sediment",100,0.627145826757615,0.00294560176619275,0.530292548094462,0.690719191014358,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Pseudomonadota; Alphaproteobacteria; Rhizobiales; Methyloligellaceae; Methyloceanibacter","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhizobiales","Methyloligellaceae","Methyloceanibacter","freshwater sediment",100,0.621666723406613,0.00189390552465076,0.580567807768884,0.663596973279903,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Acidobacteriota; UBA6911; UBA6911; UBA6911; UBA6911","Bacteria","Acidobacteriota","UBA6911","UBA6911","UBA6911","UBA6911","freshwater sediment",100,0.617507209240508,0.00222371922106057,0.571196491672319,0.658026270332919,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Acidobacteriota; Aminicenantia; Aminicenantales; RBG-16-66-30; RBG-16-66-30","Bacteria","Acidobacteriota","Aminicenantia","Aminicenantales","RBG-16-66-30","RBG-16-66-30","freshwater sediment",100,0.617253629584864,0.00199487583270756,0.557803529229595,0.660709622016692,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Pseudomonadota; Alphaproteobacteria; Rhizobiales; Hyphomicrobiaceae; JAGVSR01","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","JAGVSR01","freshwater sediment",100,0.617040406679002,0.00155541777890931,0.576335600570819,0.652459497366232,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Chloroflexota; Anaerolineae; CG2-30-64-16; CG2-30-64-16; MWBF01","Bacteria","Chloroflexota","Anaerolineae","CG2-30-64-16","CG2-30-64-16","MWBF01","freshwater sediment",100,0.614298264586172,0.00252412951870523,0.560395741730531,0.670866043653783,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Archaea; Thermoproteota; Bathyarchaeia; TCS64; TCS64; UBA8941","Archaea","Thermoproteota","Bathyarchaeia","TCS64","TCS64","UBA8941","freshwater sediment",100,0.613501504909369,0.0013646548865568,0.58418764481943,0.652615327768424,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Desulfobacterota; Syntrophia; Syntrophales; UBA2192; UBA2192","Bacteria","Desulfobacterota","Syntrophia","Syntrophales","UBA2192","UBA2192","freshwater sediment",100,0.607799111290634,0.00307175573653819,0.526301402512872,0.660512432907223,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Spirochaetota; Spirochaetia; SZUA-6; Fen-1364; Fen-1364","Bacteria","Spirochaetota","Spirochaetia","SZUA-6","Fen-1364","Fen-1364","freshwater sediment",100,0.599697982408042,0.00176097526682968,0.543869247595712,0.635387942540064,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Methylomirabilota; Methylomirabilia; Methylomirabilales; 2-02-FULL-66-22; 2-02-FULL-66-22","Bacteria","Methylomirabilota","Methylomirabilia","Methylomirabilales","2-02-FULL-66-22","2-02-FULL-66-22","freshwater sediment",100,0.599023835433984,0.00247921096786927,0.522877076985367,0.66592587201637,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Planctomycetota; Planctomycetia; Pirellulales; Thermoguttaceae; JADLEL01","Bacteria","Planctomycetota","Planctomycetia","Pirellulales","Thermoguttaceae","JADLEL01","freshwater sediment",100,0.595983895698051,0.00176559862562836,0.54263429434669,0.64136624936239,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Pseudomonadota; Gammaproteobacteria; Burkholderiales; Burkholderiaceae; CADEEN01","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","CADEEN01","freshwater sediment",100,0.594474683668065,0.00190656353398725,0.547385979228926,0.635844327143028,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Chloroflexota; Anaerolineae; Anaerolineales; Anaerolineaceae; UBA6107","Bacteria","Chloroflexota","Anaerolineae","Anaerolineales","Anaerolineaceae","UBA6107","freshwater sediment",100,0.587739006403204,0.00348113164497884,0.488051725885767,0.661432972889848,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Planctomycetota; Planctomycetia; Pirellulales; PALSA-1355; PALSA-1355","Bacteria","Planctomycetota","Planctomycetia","Pirellulales","PALSA-1355","PALSA-1355","freshwater sediment",100,0.587711387317788,0.00294257821320583,0.515619813179595,0.641517428795721,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Chloroflexota; Anaerolineae; Anaerolineales; Villigracilaceae; Fen-1038","Bacteria","Chloroflexota","Anaerolineae","Anaerolineales","Villigracilaceae","Fen-1038","freshwater sediment",100,0.58100866329647,0.00246526365962169,0.516867189444436,0.644224289489741,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Actinomycetota; Acidimicrobiia; Acidimicrobiales; Ilumatobacteraceae; Sva-07","Bacteria","Actinomycetota","Acidimicrobiia","Acidimicrobiales","Ilumatobacteraceae","Sva-07","freshwater sediment",100,0.57055169967052,0.00188890925512179,0.528829598808895,0.609485031240212,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Desulfobacterota; RBG-13-43-22; RBG-13-43-22; RBG-13-43-22; RBG-13-43-22","Bacteria","Desulfobacterota","RBG-13-43-22","RBG-13-43-22","RBG-13-43-22","RBG-13-43-22","freshwater sediment",100,0.566519112030884,0.00183003841737569,0.498574230172907,0.597254665170691,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Chloroflexota; Anaerolineae; Anaerolineales; Anaerolineaceae; Anaerolinea","Bacteria","Chloroflexota","Anaerolineae","Anaerolineales","Anaerolineaceae","Anaerolinea","freshwater sediment",100,0.564428194098062,0.00181634683260574,0.525408323197769,0.610316944289418,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Acidobacteriota; Aminicenantia; UBA2199; UBA2199; UBA2199","Bacteria","Acidobacteriota","Aminicenantia","UBA2199","UBA2199","UBA2199","freshwater sediment",100,0.564131231684415,0.00262094414773444,0.478557562933094,0.618813940590633,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Planctomycetota; Planctomycetia; Pirellulales; Thermoguttaceae; JAJFUI01","Bacteria","Planctomycetota","Planctomycetia","Pirellulales","Thermoguttaceae","JAJFUI01","freshwater sediment",100,0.563313708685572,0.00167196683031508,0.52356854223035,0.600753073499544,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Actinomycetota; Thermoleophilia; UBA2241; UBA2241; UBA2241","Bacteria","Actinomycetota","Thermoleophilia","UBA2241","UBA2241","UBA2241","freshwater sediment",100,0.563205515352565,0.00165855947869205,0.529396309360609,0.599566204171022,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Chloroflexota; Anaerolineae; Anaerolineales; UBA4823; FEB-25","Bacteria","Chloroflexota","Anaerolineae","Anaerolineales","UBA4823","FEB-25","freshwater sediment",100,0.558535548193139,0.00228233593399681,0.510319140235552,0.61891921510268,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Chloroflexota; Anaerolineae; Fen-1058; Fen-1058; Fen-1058","Bacteria","Chloroflexota","Anaerolineae","Fen-1058","Fen-1058","Fen-1058","freshwater sediment",100,0.550525843989636,0.00267105520841357,0.500570809607309,0.603031333340835,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Chloroflexota; Anaerolineae; Anaerolineales; UBA4823; RBG-16-57-11","Bacteria","Chloroflexota","Anaerolineae","Anaerolineales","UBA4823","RBG-16-57-11","freshwater sediment",100,0.550475675329382,0.00280394298980319,0.455134343743459,0.606255691296516,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Archaea; Thermoproteota; Bathyarchaeia; Bathyarchaeales; Bathycorpusculaceae; JADGNF01","Archaea","Thermoproteota","Bathyarchaeia","Bathyarchaeales","Bathycorpusculaceae","JADGNF01","freshwater sediment",100,0.5502320382452,0.00270765638448038,0.484258318339622,0.606404811674126,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
