"Taxonomy","Habitat","PercRunsInd","IndVal_mean","IndVal_se","IndVal_min","IndVal_max","PVal_mean","PVal_se","PVal_min","PVal_max"
"Archaea; Thermoproteota; Bathyarchaeia; TCS64; TCS64; RBG-16-57-9","marine sediment",100,0.650862440739281,0.00263480914276551,0.596012080874002,0.717337165378882,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Archaea; Thermoproteota; Bathyarchaeia; TCS64; TCS64; UBA8941","freshwater sediment",100,0.6522741780716,0.00245854664144718,0.596088887348581,0.704119919159918,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Archaea; Thermoproteota; Nitrososphaeria; Nitrososphaerales; Nitrosopumilaceae; CSP1-1","marine sediment",100,0.503938534571286,0.00332039383252743,0.426988175240419,0.573819517628618,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Archaea; Thermoproteota; Nitrososphaeria; Nitrososphaerales; Nitrosopumilaceae; Nitrosomaritimum","marine sediment",100,0.740974662322829,0.00249339565127561,0.678474787876791,0.784149231282205,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Archaea; Thermoproteota; Nitrososphaeria; Nitrososphaerales; Nitrosopumilaceae; Nitrosopumilus","marine sediment",100,0.54944255821876,0.00367401484945604,0.458034274631026,0.613150714823418,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Archaea; Thermoproteota; Nitrososphaeria; Nitrososphaerales; Nitrososphaeraceae; Nitrososphaera","soil",100,0.593302770184739,0.00740004201728577,0.428790956443745,0.711429052652303,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; ARS69; ARS69; ARS69; ARS69; BQJX01","marine sediment",100,0.540899419233258,0.00191984903464451,0.479583152331272,0.577234787586473,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Acidobacteriota; Aminicenantia; Aminicenantales; Saccharicenantaceae; JALHVH01","freshwater sediment",100,0.528054815252006,0.0029310999837948,0.457052627306919,0.592116195609689,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Acidobacteriota; Aminicenantia; Aminicenantales; Saccharicenantaceae; RBG-16-66-30","freshwater sediment",100,0.624435338231833,0.00268346621610121,0.5415868360914,0.683848614621989,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Acidobacteriota; Aminicenantia; UBA2199; UBA2199; UBA2199","freshwater sediment",100,0.542907399342003,0.00292018761451055,0.451734555674762,0.607519168611069,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Acidobacteriota; Blastocatellia; Pyrinomonadales; Pyrinomonadaceae; OLB17","soil",100,0.531447848744555,0.00357397603416614,0.438786917357647,0.626843917481491,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Acidobacteriota; Blastocatellia; Pyrinomonadales; Pyrinomonadaceae; PSRF01","soil",100,0.724453680566474,0.00255057650456709,0.647896003050822,0.775920378941634,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Acidobacteriota; Blastocatellia; Pyrinomonadales; Pyrinomonadaceae; UBA11740","soil",100,0.585680816090457,0.00316129339787147,0.511525038022125,0.679777388045011,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Acidobacteriota; Polarisedimenticolia; Polarisedimenticolales; JAIQFR01; JAIQFR01","marine sediment",100,0.538808474477014,0.00223946741787198,0.472059070542947,0.581647017539029,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Acidobacteriota; Polarisedimenticolia; Polarisedimenticolales; Polarisedimenticolaceae; CALNYP01","marine sediment",100,0.524754189771347,0.00211410887043458,0.467651700742708,0.577365563033927,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Acidobacteriota; Polarisedimenticolia; Polarisedimenticolales; Polarisedimenticolaceae; JAAELQ01","marine sediment",100,0.672662716033705,0.00174372170301678,0.634600741324975,0.704425747274459,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Acidobacteriota; Polarisedimenticolia; Polarisedimenticolales; Polarisedimenticolaceae; JAOTYK01","marine sediment",100,0.544800955123781,0.00163529372800978,0.507877341431368,0.585367292609211,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Acidobacteriota; Polarisedimenticolia; Polarisedimenticolales; Polarisedimenticolaceae; JBECKR01","marine sediment",100,0.581442893019661,0.00199309052990802,0.52877683220013,0.624184027921725,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Acidobacteriota; Polarisedimenticolia; Polarisedimenticolales; Polarisedimenticolaceae; JBFKMV01","marine sediment",100,0.58207233476024,0.0027964082375917,0.498514904758283,0.6421259937545,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Acidobacteriota; Polarisedimenticolia; Polarisedimenticolales; Polarisedimenticolaceae; Mor1","marine sediment",100,0.513273235413529,0.00176552884305201,0.469446658619759,0.558448895190353,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Acidobacteriota; Polarisedimenticolia; Polarisedimenticolales; Polarisedimenticolaceae; Polarisedimenticola","marine sediment",100,0.680789576785647,0.00179677074294567,0.631875465818295,0.709510642508975,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Acidobacteriota; Polarisedimenticolia; Polarisedimenticolales; Polarisedimenticolaceae; WVWW01","marine sediment",100,0.678394324659443,0.00174935478434544,0.644207882990587,0.723013229253664,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Acidobacteriota; Terriglobia; 20CM-2-55-15; 20CM-2-55-15; 20CM-2-55-15","soil",100,0.663350111326252,0.00241772687492122,0.614720401834854,0.720968172177603,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Acidobacteriota; Terriglobia; Acidiferrales; UBA7541; Acidiferrum","soil",100,0.568609857131072,0.00309804047072328,0.503065125436778,0.651950928025229,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Acidobacteriota; Terriglobia; Bryobacterales; Bryobacteraceae; Bog-105","soil",100,0.507272552310194,0.00427768830565582,0.401564768339169,0.608339798220862,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Acidobacteriota; Terriglobia; Bryobacterales; Bryobacteraceae; DASQDN01","soil",100,0.548537612928181,0.00269833650788073,0.488764520298396,0.618514349065565,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Acidobacteriota; Terriglobia; Bryobacterales; Bryobacteraceae; JALYXI01","glacier",100,0.529633968668292,0.000714999652635917,0.510955665696832,0.545875950631584,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Acidobacteriota; Terriglobia; Bryobacterales; Bryobacteraceae; Palsa-187","soil",100,0.642374741183263,0.0029310997365942,0.549247020594596,0.720322341599516,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Acidobacteriota; Terriglobia; Bryobacterales; Bryobacteraceae; Solibacter","soil",100,0.565005942720052,0.00306181550435523,0.486160349163466,0.645844853335674,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Acidobacteriota; Terriglobia; Terriglobales; Acidobacteriaceae; Angelobacter","soil",100,0.500533993315089,0.00628400669882303,0.349146635147762,0.612224309098522,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Acidobacteriota; Terriglobia; Terriglobales; Acidobacteriaceae; Bog-257","soil",100,0.505086197907374,0.00350099361396802,0.422892327300102,0.587344963409003,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Acidobacteriota; Terriglobia; Terriglobales; Acidobacteriaceae; Gp1-AA145","soil",100,0.559568124284559,0.00266806154460881,0.487700415127211,0.618937534660433,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
"Bacteria; Acidobacteriota; Terriglobia; Terriglobales; Acidobacteriaceae; Sulfotelmatobacter","soil",100,0.598662866165456,0.00319243047135268,0.501840542141916,0.663969779914548,0.0099009900990099,0,0.0099009900990099,0.0099009900990099
